Rented Bike Count,Date,Hour,Seasons,Temperature(°C),Humidity(%),Rainfall(mm),label_day_night,WeekDay,Month,Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Seul
206,2018-01-01,0,Winter,-3.2,40.0,0.0,Night,Monday,1,0.5,1358.0,-14.9,1
230,2018-01-01,1,Winter,-3.3,41.0,0.0,Night,Monday,1,0.7,2000.0,-14.7,1
178,2018-01-01,2,Winter,-3.7,42.0,0.0,Night,Monday,1,0.9,2000.0,-14.7,1
119,2018-01-01,3,Winter,-4.0,44.0,0.0,Night,Monday,1,1.0,2000.0,-14.4,1
62,2018-01-01,4,Winter,-4.2,53.0,0.0,Night,Monday,1,1.1,1994.0,-12.3,1
61,2018-01-01,5,Winter,-4.4,54.0,0.0,Day,Monday,1,0.8,1786.0,-12.3,1
65,2018-01-01,6,Winter,-4.5,51.0,0.0,Day,Monday,1,1.1,2000.0,-13.1,1
81,2018-01-01,7,Winter,-4.7,56.0,0.0,Day,Monday,1,1.1,2000.0,-12.1,1
89,2018-01-01,8,Winter,-5.0,55.0,0.0,Day,Monday,1,1.0,2000.0,-12.6,1
121,2018-01-01,9,Winter,-4.3,39.0,0.0,Day,Monday,1,0.7,1973.0,-16.2,1
139,2018-01-01,10,Winter,-1.6,32.0,0.0,Day,Monday,1,0.8,1766.0,-16.1,1
169,2018-01-01,11,Winter,0.1,27.0,0.0,Day,Monday,1,2.2,1874.0,-16.7,1
225,2018-01-01,12,Winter,1.5,20.0,0.0,Day,Monday,1,2.8,1992.0,-19.0,1
248,2018-01-01,13,Winter,2.4,22.0,0.0,Day,Monday,1,2.3,1921.0,-17.2,1
298,2018-01-01,14,Winter,3.7,24.0,0.0,Day,Monday,1,2.1,1906.0,-15.0,1
344,2018-01-01,15,Winter,3.0,27.0,0.0,Day,Monday,1,2.9,1715.0,-14.2,1
310,2018-01-01,16,Winter,3.0,28.0,0.0,Day,Monday,1,2.5,1864.0,-13.7,1
271,2018-01-01,17,Winter,1.8,33.0,0.0,Day,Monday,1,3.3,1913.0,-12.8,1
218,2018-01-01,18,Winter,0.8,34.0,0.0,Day,Monday,1,1.9,1887.0,-13.3,1
125,2018-01-01,19,Winter,-0.1,39.0,0.0,Day,Monday,1,1.3,1911.0,-12.4,1
206,2018-01-01,20,Winter,-0.3,40.0,0.0,Day,Monday,1,1.2,1936.0,-12.2,1
203,2018-01-01,21,Winter,-0.9,44.0,0.0,Night,Monday,1,1.2,1871.0,-11.6,1
168,2018-01-01,22,Winter,-1.3,48.0,0.0,Night,Monday,1,0.8,1927.0,-10.9,1
154,2018-01-01,23,Winter,-1.6,51.0,0.0,Night,Monday,1,0.7,1882.0,-10.4,1
148,2018-01-02,0,Winter,-1.8,54.0,0.0,Night,Tuesday,1,1.1,1772.0,-9.8,1
108,2018-01-02,1,Winter,-2.1,56.0,0.0,Night,Tuesday,1,0.8,1732.0,-9.7,1
69,2018-01-02,2,Winter,-2.3,62.0,0.0,Night,Tuesday,1,0.9,1560.0,-8.6,1
41,2018-01-02,3,Winter,-2.5,62.0,0.0,Night,Tuesday,1,0.4,1626.0,-8.7,1
31,2018-01-02,4,Winter,-2.7,67.0,0.0,Night,Tuesday,1,0.5,1302.0,-7.9,1
58,2018-01-02,5,Winter,-3.1,67.0,0.0,Day,Tuesday,1,0.6,1384.0,-8.3,1
139,2018-01-02,6,Winter,-3.2,67.0,0.0,Day,Tuesday,1,0.4,1409.0,-8.4,1
344,2018-01-02,7,Winter,-3.2,69.0,0.0,Day,Tuesday,1,0.5,1249.0,-8.0,1
655,2018-01-02,8,Winter,-3.4,71.0,0.0,Day,Tuesday,1,0.8,1179.0,-7.9,1
315,2018-01-02,9,Winter,-3.1,66.0,0.0,Day,Tuesday,1,0.2,1168.0,-8.5,1
208,2018-01-02,10,Winter,-1.4,50.0,0.0,Day,Tuesday,1,1.9,1355.0,-10.5,1
269,2018-01-02,11,Winter,-0.4,40.0,0.0,Day,Tuesday,1,2.3,1633.0,-12.3,1
293,2018-01-02,12,Winter,0.9,29.0,0.0,Day,Tuesday,1,1.9,1761.0,-15.1,1
273,2018-01-02,13,Winter,1.5,23.0,0.0,Day,Tuesday,1,3.6,1970.0,-17.4,1
302,2018-01-02,14,Winter,1.7,20.0,0.0,Day,Tuesday,1,4.4,1995.0,-18.9,1
295,2018-01-02,15,Winter,1.5,22.0,0.0,Day,Tuesday,1,3.0,1998.0,-17.9,1
320,2018-01-02,16,Winter,1.3,23.0,0.0,Day,Tuesday,1,2.9,2000.0,-17.6,1
373,2018-01-02,17,Winter,0.3,27.0,0.0,Day,Tuesday,1,2.6,2000.0,-16.5,1
675,2018-01-02,18,Winter,-0.8,24.0,0.0,Day,Tuesday,1,2.3,2000.0,-18.9,1
